Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1998,97.2,50.4,38.8,260.2,218,131,107.6,424.5,57.4,42.8,76,63.5,1567.4
1999,232.8,157.5,45,263.8,103.4,97.2,176.2,108.2,36.4,161.4,61.3,92.9,1536.1
2000,30.9,38.1,239.8,63.5,55,39.5,36.2,28.4,33.8,72.2,150.8,44.6,832.8
2001,135.3,87,75.5,130,362.8,30.6,182.9,75,35.3,37.4,87,56,1294.8
2002,88.1,396.8,77.6,88,137.2,35,29.6,30.2,39.5,6.8,46.8,82.3,1057.9
2003,13.4,60.8,161.9,207.4,405.4,56,96.9,56.4,2.8,83.2,104.5,53.5,1302.2
2004,63,137,109.9,21.8,14.3,55,60.3,141.5,81.4,226.8,82.9,77.1,1071
2005,64.5,134.8,109.5,31.3,73.6,61.4,86.2,1.6,51.9,54.4,116.1,32.6,817.9
2006,136.6,32.8,54,15,46.2,251.9,178.4,72.8,144.7,17.2,49.3,94.9,1093.8
2007,70.8,115.3,65.8,311.3,8.2,394.5,55,94.6,49.5,21.7,140,91.4,1418.1
2008,53.8,262.6,63.6,134.6,10,132.8,145.2,80,86,71.2,66.8,91.4,1198
2009,36.6,136.6,69.6,196.2,232.1,131.8,76.8,6.2,15.8,147.8,18,76.4,1143.9
2010,36,255.8,46.6,34.2,273.2,158.6,129,31,46.2,104.4,127.2,109.8,1352
2011,76.6,17.2,236.6,201.6,144.6,87.4,293.4,46.6,73.2,40.6,172.2,90,1480
2012,134.6,174.6,243,173.8,41.2,274.4,86.8,20.6,26.4,34,50.1,45.2,1304.7
2013,174.8,177.6,67,183.7,81.9,349.8,59.5,17.8,98.4,45.6,209.2,77.4,1542.7
2014,28.1,67,147.6,130.1,40.8,102.2,14.4,240.6,78.2,96.2,29.4,111.7,1086.3
2015,191.8,62.4,66.7,400.6,118.9,134.6,67.1,77.9,122.6,34.8,126.2,136,1539.6
2016,277.9,78.4,228.3,69,11.8,301.6,105.7,148.2,86.8,41.4,28.8,61.4,1439.3
2017,63.2,185,245.7,95.4,56.5,176,23,32.6,2,64.2,89.5,55,1088.1
2018,49.9,92.2,117.4,54.7,34.5,276.4,8.6,9.8,76,156.6,115.3,93.3,1084.7
2019,45.3,92,265.1,16.8,19.8,244.6,67,70,99.6,24,31.7,8.5,984.4
2020,59.8,389.5,170.3,36.4,152.1,116.8,175.7,87.2,34.8,89.1,76.7,121.6,1510
